[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold0_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold0_val.pt

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
  params=918,210 | device=cuda:2 | fold=0
========================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_operator_moe.py:93: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  ).index_reduce_(0, batch_idx, scores, 'amax', include_self=True)
Ep 01 [lr=2.00e-05] | L:0.783 (BCE:0.694 REG:0.0882 LB:0.0000) | VAL_AUC:0.6292 PRC:0.6171 F1:0.4847
Ep 02 [lr=6.50e-05] | L:0.708 (BCE:0.664 REG:0.0436 LB:0.0000) | VAL_AUC:0.6996 PRC:0.6858 F1:0.6337
Ep 03 [lr=1.10e-04] | L:0.643 (BCE:0.640 REG:0.0031 LB:0.0000) | VAL_AUC:0.7079 PRC:0.6964 F1:0.6000
Ep 04 [lr=1.55e-04] | L:0.632 (BCE:0.632 REG:0.0005 LB:0.0000) | VAL_AUC:0.7081 PRC:0.6973 F1:0.6285
Ep 05 [lr=2.00e-04] | L:0.627 (BCE:0.627 REG:0.0003 LB:0.0000) | VAL_AUC:0.7084 PRC:0.6970 F1:0.6034
Ep 06 [lr=2.00e-04] | L:0.624 (BCE:0.624 REG:0.0004 LB:0.0000) | VAL_AUC:0.7113 PRC:0.7008 F1:0.6398
Ep 07 [lr=2.00e-04] | L:0.620 (BCE:0.619 REG:0.0009 LB:0.0000) | VAL_AUC:0.7242 PRC:0.7091 F1:0.6583
Ep 08 [lr=2.00e-04] | L:0.607 (BCE:0.606 REG:0.0016 LB:0.0000) | VAL_AUC:0.7562 PRC:0.7352 F1:0.6876
Ep 09 [lr=2.00e-04] | L:0.584 (BCE:0.583 REG:0.0019 LB:0.0000) | VAL_AUC:0.7783 PRC:0.7563 F1:0.7103
Ep 10 [lr=2.00e-04] | L:0.572 (BCE:0.571 REG:0.0017 LB:0.0000) | VAL_AUC:0.7860 PRC:0.7662 F1:0.7069
Ep 11 [lr=2.00e-04] | L:0.565 (BCE:0.563 REG:0.0018 LB:0.0000) | VAL_AUC:0.7950 PRC:0.7739 F1:0.7120
Ep 12 [lr=2.00e-04] | L:0.555 (BCE:0.553 REG:0.0020 LB:0.0000) | VAL_AUC:0.8004 PRC:0.7813 F1:0.7219
Ep 13 [lr=2.00e-04] | L:0.545 (BCE:0.543 REG:0.0021 LB:0.0000) | VAL_AUC:0.8011 PRC:0.7843 F1:0.7182
Ep 14 [lr=2.00e-04] | L:0.536 (BCE:0.534 REG:0.0021 LB:0.0000) | VAL_AUC:0.8170 PRC:0.7996 F1:0.7447
Ep 15 [lr=2.00e-04] | L:0.527 (BCE:0.525 REG:0.0022 LB:0.0000) | VAL_AUC:0.8287 PRC:0.8143 F1:0.7498
Ep 16 [lr=2.00e-04] | L:0.518 (BCE:0.516 REG:0.0022 LB:0.0000) | VAL_AUC:0.8281 PRC:0.8137 F1:0.7531
Ep 17 [lr=2.00e-04] | L:0.510 (BCE:0.508 REG:0.0021 LB:0.0000) | VAL_AUC:0.8346 PRC:0.8222 F1:0.7487
Ep 18 [lr=2.00e-04] | L:0.505 (BCE:0.503 REG:0.0021 LB:0.0000) | VAL_AUC:0.8336 PRC:0.8203 F1:0.7520
Ep 19 [lr=2.00e-04] | L:0.499 (BCE:0.497 REG:0.0021 LB:0.0000) | VAL_AUC:0.8387 PRC:0.8262 F1:0.7480
Ep 20 [lr=2.00e-04] | L:0.493 (BCE:0.491 REG:0.0021 LB:0.0000) | VAL_AUC:0.8445 PRC:0.8321 F1:0.7618
Ep 21 [lr=2.00e-04] | L:0.489 (BCE:0.487 REG:0.0020 LB:0.0000) | VAL_AUC:0.8437 PRC:0.8324 F1:0.7612
Ep 22 [lr=2.00e-04] | L:0.485 (BCE:0.483 REG:0.0020 LB:0.0000) | VAL_AUC:0.8488 PRC:0.8375 F1:0.7719
Ep 23 [lr=2.00e-04] | L:0.481 (BCE:0.479 REG:0.0020 LB:0.0000) | VAL_AUC:0.8507 PRC:0.8402 F1:0.7750
Ep 24 [lr=2.00e-04] | L:0.479 (BCE:0.477 REG:0.0020 LB:0.0000) | VAL_AUC:0.8495 PRC:0.8377 F1:0.7693
Ep 25 [lr=2.00e-04] | L:0.475 (BCE:0.473 REG:0.0020 LB:0.0000) | VAL_AUC:0.8503 PRC:0.8388 F1:0.7645
Ep 26 [lr=2.00e-04] | L:0.471 (BCE:0.469 REG:0.0019 LB:0.0000) | VAL_AUC:0.8522 PRC:0.8403 F1:0.7724
Ep 27 [lr=2.00e-04] | L:0.467 (BCE:0.465 REG:0.0020 LB:0.0000) | VAL_AUC:0.8547 PRC:0.8440 F1:0.7802
Ep 28 [lr=2.00e-04] | L:0.465 (BCE:0.463 REG:0.0019 LB:0.0000) | VAL_AUC:0.8555 PRC:0.8444 F1:0.7706
Ep 29 [lr=2.00e-04] | L:0.462 (BCE:0.460 REG:0.0019 LB:0.0000) | VAL_AUC:0.8551 PRC:0.8435 F1:0.7752
Ep 30 [lr=2.00e-04] | L:0.459 (BCE:0.457 REG:0.0019 LB:0.0000) | VAL_AUC:0.8574 PRC:0.8473 F1:0.7755
Ep 31 [lr=2.00e-04] | L:0.456 (BCE:0.455 REG:0.0019 LB:0.0000) | VAL_AUC:0.8585 PRC:0.8479 F1:0.7813
Ep 32 [lr=2.00e-04] | L:0.454 (BCE:0.452 REG:0.0019 LB:0.0000) | VAL_AUC:0.8600 PRC:0.8502 F1:0.7771
Ep 33 [lr=2.00e-04] | L:0.451 (BCE:0.449 REG:0.0019 LB:0.0000) | VAL_AUC:0.8597 PRC:0.8498 F1:0.7708
Ep 34 [lr=2.00e-04] | L:0.448 (BCE:0.447 REG:0.0019 LB:0.0000) | VAL_AUC:0.8613 PRC:0.8502 F1:0.7780
Ep 35 [lr=2.00e-04] | L:0.445 (BCE:0.443 REG:0.0019 LB:0.0000) | VAL_AUC:0.8604 PRC:0.8498 F1:0.7858
Ep 36 [lr=2.00e-04] | L:0.443 (BCE:0.441 REG:0.0019 LB:0.0000) | VAL_AUC:0.8596 PRC:0.8493 F1:0.7756
Ep 37 [lr=2.00e-04] | L:0.441 (BCE:0.439 REG:0.0019 LB:0.0000) | VAL_AUC:0.8605 PRC:0.8499 F1:0.7738
Ep 38 [lr=2.00e-04] | L:0.438 (BCE:0.436 REG:0.0019 LB:0.0000) | VAL_AUC:0.8632 PRC:0.8526 F1:0.7833
Ep 39 [lr=2.00e-04] | L:0.436 (BCE:0.434 REG:0.0019 LB:0.0000) | VAL_AUC:0.8627 PRC:0.8525 F1:0.7811
Ep 40 [lr=2.00e-04] | L:0.432 (BCE:0.430 REG:0.0019 LB:0.0000) | VAL_AUC:0.8654 PRC:0.8555 F1:0.7851
Ep 41 [lr=2.00e-04] | L:0.430 (BCE:0.429 REG:0.0019 LB:0.0000) | VAL_AUC:0.8640 PRC:0.8543 F1:0.7843
Ep 42 [lr=2.00e-04] | L:0.429 (BCE:0.427 REG:0.0019 LB:0.0000) | VAL_AUC:0.8652 PRC:0.8556 F1:0.7843
Ep 43 [lr=2.00e-04] | L:0.426 (BCE:0.425 REG:0.0019 LB:0.0000) | VAL_AUC:0.8651 PRC:0.8552 F1:0.7859
Ep 44 [lr=1.00e-04] | L:0.424 (BCE:0.422 REG:0.0019 LB:0.0000) | VAL_AUC:0.8654 PRC:0.8557 F1:0.7775
Ep 45 [lr=1.00e-04] | L:0.414 (BCE:0.412 REG:0.0018 LB:0.0000) | VAL_AUC:0.8673 PRC:0.8576 F1:0.7782
Ep 46 [lr=1.00e-04] | L:0.410 (BCE:0.408 REG:0.0019 LB:0.0000) | VAL_AUC:0.8662 PRC:0.8562 F1:0.7828
Ep 47 [lr=1.00e-04] | L:0.410 (BCE:0.408 REG:0.0018 LB:0.0000) | VAL_AUC:0.8655 PRC:0.8562 F1:0.7849
Ep 48 [lr=1.00e-04] | L:0.408 (BCE:0.406 REG:0.0019 LB:0.0000) | VAL_AUC:0.8672 PRC:0.8578 F1:0.7854
Ep 49 [lr=5.00e-05] | L:0.406 (BCE:0.404 REG:0.0019 LB:0.0000) | VAL_AUC:0.8664 PRC:0.8567 F1:0.7845
Ep 50 [lr=5.00e-05] | L:0.400 (BCE:0.398 REG:0.0018 LB:0.0000) | VAL_AUC:0.8672 PRC:0.8579 F1:0.7849
Ep 51 [lr=5.00e-05] | L:0.399 (BCE:0.397 REG:0.0018 LB:0.0000) | VAL_AUC:0.8674 PRC:0.8579 F1:0.7861
Ep 52 [lr=5.00e-05] | L:0.397 (BCE:0.396 REG:0.0018 LB:0.0000) | VAL_AUC:0.8676 PRC:0.8578 F1:0.7837
Ep 53 [lr=5.00e-05] | L:0.397 (BCE:0.395 REG:0.0018 LB:0.0000) | VAL_AUC:0.8683 PRC:0.8590 F1:0.7875
Ep 54 [lr=5.00e-05] | L:0.397 (BCE:0.395 REG:0.0018 LB:0.0000) | VAL_AUC:0.8680 PRC:0.8584 F1:0.7854
Ep 55 [lr=5.00e-05] | L:0.396 (BCE:0.394 REG:0.0018 LB:0.0000) | VAL_AUC:0.8681 PRC:0.8588 F1:0.7835
Ep 56 [lr=5.00e-05] | L:0.396 (BCE:0.394 REG:0.0018 LB:0.0000) | VAL_AUC:0.8676 PRC:0.8580 F1:0.7838
Ep 57 [lr=2.50e-05] | L:0.395 (BCE:0.393 REG:0.0018 LB:0.0000) | VAL_AUC:0.8680 PRC:0.8583 F1:0.7841
Ep 58 [lr=2.50e-05] | L:0.391 (BCE:0.389 REG:0.0018 LB:0.0000) | VAL_AUC:0.8678 PRC:0.8583 F1:0.7851
Ep 59 [lr=2.50e-05] | L:0.391 (BCE:0.389 REG:0.0018 LB:0.0000) | VAL_AUC:0.8683 PRC:0.8588 F1:0.7846
Ep 60 [lr=2.50e-05] | L:0.390 (BCE:0.388 REG:0.0018 LB:0.0000) | VAL_AUC:0.8682 PRC:0.8584 F1:0.7837
Ep 61 [lr=1.25e-05] | L:0.389 (BCE:0.387 REG:0.0018 LB:0.0000) | VAL_AUC:0.8681 PRC:0.8586 F1:0.7844
Ep 62 [lr=1.25e-05] | L:0.388 (BCE:0.386 REG:0.0018 LB:0.0000) | VAL_AUC:0.8680 PRC:0.8584 F1:0.7841
