[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold0_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold0_val.pt

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
  params=918,210 | device=cuda:3 | fold=0
========================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_operator_moe.py:93: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  ).index_reduce_(0, batch_idx, scores, 'amax', include_self=True)
Ep 01 [lr=2.00e-05] | L:0.783 (BCE:0.694 REG:0.0881 LB:0.0000) | VAL_AUC:0.6250 PRC:0.6131 F1:0.4955
Ep 02 [lr=6.50e-05] | L:0.706 (BCE:0.666 REG:0.0406 LB:0.0000) | VAL_AUC:0.6892 PRC:0.6863 F1:0.5996
Ep 03 [lr=1.10e-04] | L:0.644 (BCE:0.642 REG:0.0019 LB:0.0000) | VAL_AUC:0.6932 PRC:0.6959 F1:0.5609
Ep 04 [lr=1.55e-04] | L:0.634 (BCE:0.633 REG:0.0008 LB:0.0000) | VAL_AUC:0.6947 PRC:0.6966 F1:0.6182
Ep 05 [lr=2.00e-04] | L:0.630 (BCE:0.629 REG:0.0004 LB:0.0000) | VAL_AUC:0.6964 PRC:0.6999 F1:0.5748
Ep 06 [lr=2.00e-04] | L:0.626 (BCE:0.626 REG:0.0002 LB:0.0000) | VAL_AUC:0.6968 PRC:0.7010 F1:0.5942
Ep 07 [lr=2.00e-04] | L:0.625 (BCE:0.624 REG:0.0002 LB:0.0000) | VAL_AUC:0.6975 PRC:0.7018 F1:0.5637
Ep 08 [lr=2.00e-04] | L:0.623 (BCE:0.623 REG:0.0002 LB:0.0000) | VAL_AUC:0.6973 PRC:0.7017 F1:0.5873
Ep 09 [lr=2.00e-04] | L:0.622 (BCE:0.622 REG:0.0004 LB:0.0000) | VAL_AUC:0.7019 PRC:0.7037 F1:0.5842
Ep 10 [lr=2.00e-04] | L:0.618 (BCE:0.617 REG:0.0010 LB:0.0000) | VAL_AUC:0.7178 PRC:0.7154 F1:0.6688
Ep 11 [lr=2.00e-04] | L:0.605 (BCE:0.604 REG:0.0018 LB:0.0000) | VAL_AUC:0.7446 PRC:0.7349 F1:0.6884
