[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold4_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold4_val.pt

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
  params=918,210 | device=cuda:2 | fold=4
========================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_operator_moe.py:113: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  ).index_reduce_(0, batch_idx, scores, 'amax', include_self=True)
Ep 01 [lr=2.00e-05] | L:0.783 (BCE:0.694 REG:0.0882 LB:0.0000) | VAL_AUC:0.6267 PRC:0.6153 F1:0.5077
Ep 02 [lr=6.50e-05] | L:0.715 (BCE:0.664 REG:0.0515 LB:0.0000) | VAL_AUC:0.6940 PRC:0.6831 F1:0.5957
Ep 03 [lr=1.10e-04] | L:0.644 (BCE:0.639 REG:0.0052 LB:0.0000) | VAL_AUC:0.7017 PRC:0.6939 F1:0.6415
Ep 04 [lr=1.55e-04] | L:0.630 (BCE:0.630 REG:0.0005 LB:0.0000) | VAL_AUC:0.7051 PRC:0.6987 F1:0.5837
Ep 05 [lr=2.00e-04] | L:0.626 (BCE:0.625 REG:0.0004 LB:0.0000) | VAL_AUC:0.7031 PRC:0.6958 F1:0.6280
Ep 06 [lr=2.00e-04] | L:0.622 (BCE:0.622 REG:0.0003 LB:0.0000) | VAL_AUC:0.7065 PRC:0.7002 F1:0.6616
Ep 07 [lr=2.00e-04] | L:0.621 (BCE:0.620 REG:0.0002 LB:0.0000) | VAL_AUC:0.7067 PRC:0.7014 F1:0.5906
Ep 08 [lr=2.00e-04] | L:0.619 (BCE:0.619 REG:0.0002 LB:0.0000) | VAL_AUC:0.7069 PRC:0.7011 F1:0.6096
Ep 09 [lr=2.00e-04] | L:0.618 (BCE:0.618 REG:0.0002 LB:0.0000) | VAL_AUC:0.7077 PRC:0.7010 F1:0.6156
Ep 10 [lr=2.00e-04] | L:0.617 (BCE:0.617 REG:0.0002 LB:0.0000) | VAL_AUC:0.7074 PRC:0.7011 F1:0.6147
Ep 11 [lr=2.00e-04] | L:0.615 (BCE:0.614 REG:0.0007 LB:0.0000) | VAL_AUC:0.7235 PRC:0.7108 F1:0.6608
Ep 12 [lr=2.00e-04] | L:0.600 (BCE:0.598 REG:0.0018 LB:0.0000) | VAL_AUC:0.7605 PRC:0.7409 F1:0.6865
Ep 13 [lr=2.00e-04] | L:0.578 (BCE:0.577 REG:0.0019 LB:0.0000) | VAL_AUC:0.7736 PRC:0.7550 F1:0.7014
Ep 14 [lr=2.00e-04] | L:0.567 (BCE:0.565 REG:0.0017 LB:0.0000) | VAL_AUC:0.7819 PRC:0.7647 F1:0.7191
Ep 15 [lr=2.00e-04] | L:0.560 (BCE:0.559 REG:0.0015 LB:0.0000) | VAL_AUC:0.7879 PRC:0.7716 F1:0.7071
Ep 16 [lr=2.00e-04] | L:0.552 (BCE:0.551 REG:0.0017 LB:0.0000) | VAL_AUC:0.7953 PRC:0.7794 F1:0.7283
Ep 17 [lr=2.00e-04] | L:0.544 (BCE:0.543 REG:0.0016 LB:0.0000) | VAL_AUC:0.8001 PRC:0.7866 F1:0.7231
Ep 18 [lr=2.00e-04] | L:0.536 (BCE:0.535 REG:0.0016 LB:0.0000) | VAL_AUC:0.8073 PRC:0.7950 F1:0.7230
Ep 19 [lr=2.00e-04] | L:0.527 (BCE:0.526 REG:0.0016 LB:0.0000) | VAL_AUC:0.8154 PRC:0.8027 F1:0.7391
Ep 20 [lr=2.00e-04] | L:0.520 (BCE:0.518 REG:0.0017 LB:0.0000) | VAL_AUC:0.8201 PRC:0.8070 F1:0.7485
