[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold2_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold2_val.pt

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
  params=918,210 | device=cuda:0 | fold=2
========================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_operator_moe.py:113: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  ).index_reduce_(0, batch_idx, scores, 'amax', include_self=True)
Ep 01 [lr=2.00e-05] | L:0.777 (BCE:0.689 REG:0.0882 LB:0.0000) | VAL_AUC:0.6704 PRC:0.6615 F1:0.5826
Ep 02 [lr=6.50e-05] | L:0.688 (BCE:0.639 REG:0.0494 LB:0.0000) | VAL_AUC:0.7529 PRC:0.7454 F1:0.6838
Ep 03 [lr=1.10e-04] | L:0.604 (BCE:0.593 REG:0.0103 LB:0.0000) | VAL_AUC:0.7968 PRC:0.7843 F1:0.7033
Ep 04 [lr=1.55e-04] | L:0.553 (BCE:0.547 REG:0.0061 LB:0.0000) | VAL_AUC:0.8286 PRC:0.8184 F1:0.7548
Ep 05 [lr=2.00e-04] | L:0.529 (BCE:0.524 REG:0.0042 LB:0.0000) | VAL_AUC:0.8295 PRC:0.8202 F1:0.7280
Ep 06 [lr=2.00e-04] | L:0.513 (BCE:0.510 REG:0.0034 LB:0.0000) | VAL_AUC:0.8401 PRC:0.8330 F1:0.7538
Ep 07 [lr=2.00e-04] | L:0.502 (BCE:0.499 REG:0.0030 LB:0.0000) | VAL_AUC:0.8492 PRC:0.8417 F1:0.7771
Ep 08 [lr=2.00e-04] | L:0.491 (BCE:0.489 REG:0.0028 LB:0.0000) | VAL_AUC:0.8451 PRC:0.8387 F1:0.7659
Ep 09 [lr=2.00e-04] | L:0.484 (BCE:0.482 REG:0.0027 LB:0.0000) | VAL_AUC:0.8570 PRC:0.8517 F1:0.7686
Ep 10 [lr=2.00e-04] | L:0.479 (BCE:0.476 REG:0.0027 LB:0.0000) | VAL_AUC:0.8602 PRC:0.8555 F1:0.7810
Ep 11 [lr=2.00e-04] | L:0.473 (BCE:0.470 REG:0.0025 LB:0.0000) | VAL_AUC:0.8608 PRC:0.8563 F1:0.7779
Ep 12 [lr=2.00e-04] | L:0.467 (BCE:0.465 REG:0.0024 LB:0.0000) | VAL_AUC:0.8672 PRC:0.8630 F1:0.7866
Ep 13 [lr=2.00e-04] | L:0.461 (BCE:0.459 REG:0.0024 LB:0.0000) | VAL_AUC:0.8691 PRC:0.8645 F1:0.7929
Ep 14 [lr=2.00e-04] | L:0.456 (BCE:0.454 REG:0.0023 LB:0.0000) | VAL_AUC:0.8701 PRC:0.8665 F1:0.7924
Ep 15 [lr=2.00e-04] | L:0.451 (BCE:0.449 REG:0.0023 LB:0.0000) | VAL_AUC:0.8733 PRC:0.8700 F1:0.7868
Ep 16 [lr=2.00e-04] | L:0.446 (BCE:0.444 REG:0.0022 LB:0.0000) | VAL_AUC:0.8740 PRC:0.8702 F1:0.7992
Ep 17 [lr=2.00e-04] | L:0.443 (BCE:0.441 REG:0.0022 LB:0.0000) | VAL_AUC:0.8751 PRC:0.8721 F1:0.7921
Ep 18 [lr=2.00e-04] | L:0.439 (BCE:0.437 REG:0.0022 LB:0.0000) | VAL_AUC:0.8778 PRC:0.8746 F1:0.8026
Ep 19 [lr=2.00e-04] | L:0.434 (BCE:0.432 REG:0.0021 LB:0.0000) | VAL_AUC:0.8793 PRC:0.8757 F1:0.8035
Ep 20 [lr=2.00e-04] | L:0.431 (BCE:0.429 REG:0.0022 LB:0.0000) | VAL_AUC:0.8788 PRC:0.8764 F1:0.8004
Ep 21 [lr=2.00e-04] | L:0.428 (BCE:0.426 REG:0.0021 LB:0.0000) | VAL_AUC:0.8799 PRC:0.8763 F1:0.7953
Ep 22 [lr=2.00e-04] | L:0.425 (BCE:0.423 REG:0.0020 LB:0.0000) | VAL_AUC:0.8817 PRC:0.8779 F1:0.8001
Ep 23 [lr=2.00e-04] | L:0.422 (BCE:0.420 REG:0.0021 LB:0.0000) | VAL_AUC:0.8825 PRC:0.8795 F1:0.7983
Ep 24 [lr=2.00e-04] | L:0.419 (BCE:0.417 REG:0.0021 LB:0.0000) | VAL_AUC:0.8832 PRC:0.8793 F1:0.8079
