[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold3_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold3_val.pt

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
  params=918,210 | device=cuda:3 | fold=3
========================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_operator_moe.py:113: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  ).index_reduce_(0, batch_idx, scores, 'amax', include_self=True)
Ep 01 [lr=2.00e-05] | L:0.783 (BCE:0.695 REG:0.0881 LB:0.0000) | VAL_AUC:0.6199 PRC:0.6097 F1:0.5587
Ep 02 [lr=6.50e-05] | L:0.710 (BCE:0.666 REG:0.0438 LB:0.0000) | VAL_AUC:0.6895 PRC:0.6882 F1:0.6090
Ep 03 [lr=1.10e-04] | L:0.646 (BCE:0.643 REG:0.0032 LB:0.0000) | VAL_AUC:0.6989 PRC:0.7019 F1:0.5725
Ep 04 [lr=1.55e-04] | L:0.635 (BCE:0.635 REG:0.0006 LB:0.0000) | VAL_AUC:0.6986 PRC:0.7033 F1:0.6179
Ep 05 [lr=2.00e-04] | L:0.631 (BCE:0.630 REG:0.0004 LB:0.0000) | VAL_AUC:0.7003 PRC:0.7062 F1:0.5842
Ep 06 [lr=2.00e-04] | L:0.627 (BCE:0.627 REG:0.0002 LB:0.0000) | VAL_AUC:0.7009 PRC:0.7066 F1:0.6097
Ep 07 [lr=2.00e-04] | L:0.625 (BCE:0.625 REG:0.0001 LB:0.0000) | VAL_AUC:0.7009 PRC:0.7060 F1:0.6657
Ep 08 [lr=2.00e-04] | L:0.624 (BCE:0.624 REG:0.0002 LB:0.0000) | VAL_AUC:0.7009 PRC:0.7078 F1:0.6533
Ep 09 [lr=2.00e-04] | L:0.623 (BCE:0.623 REG:0.0003 LB:0.0000) | VAL_AUC:0.7025 PRC:0.7092 F1:0.6117
Ep 10 [lr=2.00e-04] | L:0.622 (BCE:0.622 REG:0.0002 LB:0.0000) | VAL_AUC:0.7031 PRC:0.7097 F1:0.6690
Ep 11 [lr=2.00e-04] | L:0.621 (BCE:0.620 REG:0.0007 LB:0.0000) | VAL_AUC:0.7099 PRC:0.7141 F1:0.6347
Ep 12 [lr=2.00e-04] | L:0.616 (BCE:0.614 REG:0.0011 LB:0.0000) | VAL_AUC:0.7296 PRC:0.7265 F1:0.6385
Ep 13 [lr=2.00e-04] | L:0.600 (BCE:0.598 REG:0.0018 LB:0.0000) | VAL_AUC:0.7550 PRC:0.7457 F1:0.7051
Ep 14 [lr=2.00e-04] | L:0.588 (BCE:0.586 REG:0.0016 LB:0.0000) | VAL_AUC:0.7619 PRC:0.7521 F1:0.7014
Ep 15 [lr=2.00e-04] | L:0.582 (BCE:0.580 REG:0.0015 LB:0.0000) | VAL_AUC:0.7644 PRC:0.7558 F1:0.6857
Ep 16 [lr=2.00e-04] | L:0.577 (BCE:0.576 REG:0.0014 LB:0.0000) | VAL_AUC:0.7724 PRC:0.7635 F1:0.7006
Ep 17 [lr=2.00e-04] | L:0.572 (BCE:0.571 REG:0.0016 LB:0.0000) | VAL_AUC:0.7741 PRC:0.7674 F1:0.6988
Ep 18 [lr=2.00e-04] | L:0.569 (BCE:0.568 REG:0.0016 LB:0.0000) | VAL_AUC:0.7803 PRC:0.7741 F1:0.7039
Ep 19 [lr=2.00e-04] | L:0.564 (BCE:0.563 REG:0.0016 LB:0.0000) | VAL_AUC:0.7798 PRC:0.7747 F1:0.6948
Ep 20 [lr=2.00e-04] | L:0.561 (BCE:0.559 REG:0.0016 LB:0.0000) | VAL_AUC:0.7821 PRC:0.7771 F1:0.7044
Ep 21 [lr=2.00e-04] | L:0.558 (BCE:0.556 REG:0.0016 LB:0.0000) | VAL_AUC:0.7834 PRC:0.7795 F1:0.7017
Ep 22 [lr=2.00e-04] | L:0.554 (BCE:0.553 REG:0.0017 LB:0.0000) | VAL_AUC:0.7890 PRC:0.7852 F1:0.7157
Ep 23 [lr=2.00e-04] | L:0.552 (BCE:0.550 REG:0.0017 LB:0.0000) | VAL_AUC:0.7905 PRC:0.7854 F1:0.7241
Ep 24 [lr=2.00e-04] | L:0.549 (BCE:0.547 REG:0.0017 LB:0.0000) | VAL_AUC:0.7913 PRC:0.7870 F1:0.7140
Ep 25 [lr=2.00e-04] | L:0.546 (BCE:0.544 REG:0.0016 LB:0.0000) | VAL_AUC:0.7938 PRC:0.7899 F1:0.7210
Ep 26 [lr=2.00e-04] | L:0.543 (BCE:0.541 REG:0.0017 LB:0.0000) | VAL_AUC:0.7931 PRC:0.7879 F1:0.7138
Ep 27 [lr=2.00e-04] | L:0.542 (BCE:0.540 REG:0.0017 LB:0.0000) | VAL_AUC:0.7946 PRC:0.7896 F1:0.7144
Ep 28 [lr=2.00e-04] | L:0.538 (BCE:0.536 REG:0.0016 LB:0.0000) | VAL_AUC:0.7970 PRC:0.7919 F1:0.7240
Ep 29 [lr=2.00e-04] | L:0.536 (BCE:0.534 REG:0.0017 LB:0.0000) | VAL_AUC:0.7985 PRC:0.7934 F1:0.7245
Ep 30 [lr=2.00e-04] | L:0.533 (BCE:0.531 REG:0.0017 LB:0.0000) | VAL_AUC:0.8005 PRC:0.7955 F1:0.7318
Ep 31 [lr=2.00e-04] | L:0.531 (BCE:0.529 REG:0.0016 LB:0.0000) | VAL_AUC:0.8017 PRC:0.7964 F1:0.7282
Ep 32 [lr=2.00e-04] | L:0.527 (BCE:0.526 REG:0.0017 LB:0.0000) | VAL_AUC:0.8031 PRC:0.7972 F1:0.7205
Ep 33 [lr=2.00e-04] | L:0.525 (BCE:0.523 REG:0.0017 LB:0.0000) | VAL_AUC:0.8052 PRC:0.7998 F1:0.7298
Ep 34 [lr=2.00e-04] | L:0.522 (BCE:0.521 REG:0.0017 LB:0.0000) | VAL_AUC:0.8064 PRC:0.8009 F1:0.7202
Ep 35 [lr=2.00e-04] | L:0.520 (BCE:0.518 REG:0.0016 LB:0.0000) | VAL_AUC:0.8080 PRC:0.8026 F1:0.7391
Ep 36 [lr=2.00e-04] | L:0.516 (BCE:0.514 REG:0.0017 LB:0.0000) | VAL_AUC:0.8070 PRC:0.8024 F1:0.7231
Ep 37 [lr=2.00e-04] | L:0.514 (BCE:0.512 REG:0.0017 LB:0.0000) | VAL_AUC:0.8081 PRC:0.8027 F1:0.7341
Ep 38 [lr=2.00e-04] | L:0.511 (BCE:0.509 REG:0.0017 LB:0.0000) | VAL_AUC:0.8099 PRC:0.8050 F1:0.7362
Ep 39 [lr=2.00e-04] | L:0.507 (BCE:0.506 REG:0.0017 LB:0.0000) | VAL_AUC:0.8100 PRC:0.8048 F1:0.7236
Ep 40 [lr=2.00e-04] | L:0.505 (BCE:0.503 REG:0.0017 LB:0.0000) | VAL_AUC:0.8106 PRC:0.8053 F1:0.7307
Ep 41 [lr=2.00e-04] | L:0.502 (BCE:0.500 REG:0.0017 LB:0.0000) | VAL_AUC:0.8111 PRC:0.8049 F1:0.7327
Ep 42 [lr=2.00e-04] | L:0.499 (BCE:0.497 REG:0.0017 LB:0.0000) | VAL_AUC:0.8134 PRC:0.8063 F1:0.7408
Ep 43 [lr=2.00e-04] | L:0.497 (BCE:0.495 REG:0.0017 LB:0.0000) | VAL_AUC:0.8128 PRC:0.8071 F1:0.7393
Ep 44 [lr=2.00e-04] | L:0.494 (BCE:0.492 REG:0.0017 LB:0.0000) | VAL_AUC:0.8114 PRC:0.8053 F1:0.7407
Ep 45 [lr=2.00e-04] | L:0.490 (BCE:0.489 REG:0.0017 LB:0.0000) | VAL_AUC:0.8136 PRC:0.8077 F1:0.7403
Ep 46 [lr=2.00e-04] | L:0.489 (BCE:0.487 REG:0.0017 LB:0.0000) | VAL_AUC:0.8123 PRC:0.8066 F1:0.7279
Ep 47 [lr=2.00e-04] | L:0.487 (BCE:0.485 REG:0.0017 LB:0.0000) | VAL_AUC:0.8130 PRC:0.8075 F1:0.7342
Ep 48 [lr=2.00e-04] | L:0.484 (BCE:0.482 REG:0.0017 LB:0.0000) | VAL_AUC:0.8122 PRC:0.8060 F1:0.7384
Ep 49 [lr=1.00e-04] | L:0.481 (BCE:0.479 REG:0.0018 LB:0.0000) | VAL_AUC:0.8109 PRC:0.8053 F1:0.7281
Ep 50 [lr=1.00e-04] | L:0.471 (BCE:0.469 REG:0.0017 LB:0.0000) | VAL_AUC:0.8148 PRC:0.8082 F1:0.7413
Ep 51 [lr=1.00e-04] | L:0.469 (BCE:0.467 REG:0.0017 LB:0.0000) | VAL_AUC:0.8152 PRC:0.8081 F1:0.7372
Ep 52 [lr=1.00e-04] | L:0.467 (BCE:0.465 REG:0.0017 LB:0.0000) | VAL_AUC:0.8133 PRC:0.8070 F1:0.7395
Ep 53 [lr=1.00e-04] | L:0.465 (BCE:0.463 REG:0.0017 LB:0.0000) | VAL_AUC:0.8150 PRC:0.8076 F1:0.7449
Ep 54 [lr=1.00e-04] | L:0.464 (BCE:0.462 REG:0.0017 LB:0.0000) | VAL_AUC:0.8154 PRC:0.8083 F1:0.7439
Ep 55 [lr=1.00e-04] | L:0.462 (BCE:0.460 REG:0.0017 LB:0.0000) | VAL_AUC:0.8152 PRC:0.8077 F1:0.7402
Ep 56 [lr=1.00e-04] | L:0.461 (BCE:0.459 REG:0.0018 LB:0.0000) | VAL_AUC:0.8148 PRC:0.8072 F1:0.7397
Ep 57 [lr=1.00e-04] | L:0.458 (BCE:0.456 REG:0.0017 LB:0.0000) | VAL_AUC:0.8151 PRC:0.8074 F1:0.7420
Ep 58 [lr=5.00e-05] | L:0.457 (BCE:0.456 REG:0.0017 LB:0.0000) | VAL_AUC:0.8147 PRC:0.8073 F1:0.7416
Ep 59 [lr=5.00e-05] | L:0.451 (BCE:0.449 REG:0.0017 LB:0.0000) | VAL_AUC:0.8149 PRC:0.8070 F1:0.7405
Ep 60 [lr=5.00e-05] | L:0.451 (BCE:0.449 REG:0.0017 LB:0.0000) | VAL_AUC:0.8142 PRC:0.8064 F1:0.7377
Ep 61 [lr=5.00e-05] | L:0.448 (BCE:0.446 REG:0.0017 LB:0.0000) | VAL_AUC:0.8141 PRC:0.8060 F1:0.7378
Ep 62 [lr=5.00e-05] | L:0.448 (BCE:0.446 REG:0.0017 LB:0.0000) | VAL_AUC:0.8158 PRC:0.8085 F1:0.7420
Ep 63 [lr=5.00e-05] | L:0.446 (BCE:0.445 REG:0.0017 LB:0.0000) | VAL_AUC:0.8148 PRC:0.8080 F1:0.7369
Ep 64 [lr=5.00e-05] | L:0.446 (BCE:0.444 REG:0.0017 LB:0.0000) | VAL_AUC:0.8155 PRC:0.8076 F1:0.7414
Ep 65 [lr=5.00e-05] | L:0.446 (BCE:0.444 REG:0.0017 LB:0.0000) | VAL_AUC:0.8150 PRC:0.8068 F1:0.7405
Ep 66 [lr=2.50e-05] | L:0.445 (BCE:0.444 REG:0.0017 LB:0.0000) | VAL_AUC:0.8143 PRC:0.8063 F1:0.7413
Ep 67 [lr=2.50e-05] | L:0.441 (BCE:0.440 REG:0.0017 LB:0.0000) | VAL_AUC:0.8145 PRC:0.8067 F1:0.7388
Ep 68 [lr=2.50e-05] | L:0.441 (BCE:0.439 REG:0.0017 LB:0.0000) | VAL_AUC:0.8148 PRC:0.8065 F1:0.7415
Ep 69 [lr=2.50e-05] | L:0.440 (BCE:0.438 REG:0.0017 LB:0.0000) | VAL_AUC:0.8146 PRC:0.8062 F1:0.7413
Ep 70 [lr=1.25e-05] | L:0.440 (BCE:0.438 REG:0.0017 LB:0.0000) | VAL_AUC:0.8144 PRC:0.8057 F1:0.7410
Ep 71 [lr=1.25e-05] | L:0.438 (BCE:0.436 REG:0.0017 LB:0.0000) | VAL_AUC:0.8150 PRC:0.8069 F1:0.7399
Ep 72 [lr=1.25e-05] | L:0.438 (BCE:0.436 REG:0.0017 LB:0.0000) | VAL_AUC:0.8149 PRC:0.8065 F1:0.7399
Early stop at epoch 72

最优 AUC: 0.8158  模型: results_operator_moe/VCAP/no_moe_r8_k4_Fold3_5fold.pt
