[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold4_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold4_val.pt

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
  params=918,210 | device=cuda:3 | fold=4
========================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_operator_moe.py:113: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  ).index_reduce_(0, batch_idx, scores, 'amax', include_self=True)
Ep 01 [lr=2.00e-05] | L:0.782 (BCE:0.694 REG:0.0881 LB:0.0000) | VAL_AUC:0.6209 PRC:0.6025 F1:0.5354
Ep 02 [lr=6.50e-05] | L:0.706 (BCE:0.665 REG:0.0406 LB:0.0000) | VAL_AUC:0.6844 PRC:0.6728 F1:0.5919
Ep 03 [lr=1.10e-04] | L:0.644 (BCE:0.641 REG:0.0022 LB:0.0000) | VAL_AUC:0.6911 PRC:0.6843 F1:0.6013
Ep 04 [lr=1.55e-04] | L:0.633 (BCE:0.632 REG:0.0007 LB:0.0000) | VAL_AUC:0.6924 PRC:0.6864 F1:0.5652
Ep 05 [lr=2.00e-04] | L:0.630 (BCE:0.630 REG:0.0004 LB:0.0000) | VAL_AUC:0.6937 PRC:0.6870 F1:0.6053
Ep 06 [lr=2.00e-04] | L:0.625 (BCE:0.625 REG:0.0007 LB:0.0000) | VAL_AUC:0.7070 PRC:0.6970 F1:0.6464
Ep 07 [lr=2.00e-04] | L:0.612 (BCE:0.610 REG:0.0014 LB:0.0000) | VAL_AUC:0.7381 PRC:0.7191 F1:0.6766
Ep 08 [lr=2.00e-04] | L:0.593 (BCE:0.592 REG:0.0014 LB:0.0000) | VAL_AUC:0.7529 PRC:0.7341 F1:0.6738
Ep 09 [lr=2.00e-04] | L:0.584 (BCE:0.582 REG:0.0014 LB:0.0000) | VAL_AUC:0.7570 PRC:0.7393 F1:0.6966
Ep 10 [lr=2.00e-04] | L:0.579 (BCE:0.578 REG:0.0013 LB:0.0000) | VAL_AUC:0.7628 PRC:0.7457 F1:0.6836
Ep 11 [lr=2.00e-04] | L:0.575 (BCE:0.573 REG:0.0013 LB:0.0000) | VAL_AUC:0.7630 PRC:0.7468 F1:0.6860
Ep 12 [lr=2.00e-04] | L:0.570 (BCE:0.568 REG:0.0013 LB:0.0000) | VAL_AUC:0.7685 PRC:0.7526 F1:0.6943
Ep 13 [lr=2.00e-04] | L:0.566 (BCE:0.564 REG:0.0014 LB:0.0000) | VAL_AUC:0.7713 PRC:0.7557 F1:0.7003
Ep 14 [lr=2.00e-04] | L:0.562 (BCE:0.560 REG:0.0014 LB:0.0000) | VAL_AUC:0.7761 PRC:0.7615 F1:0.6976
Ep 15 [lr=2.00e-04] | L:0.558 (BCE:0.556 REG:0.0014 LB:0.0000) | VAL_AUC:0.7767 PRC:0.7619 F1:0.7016
Ep 16 [lr=2.00e-04] | L:0.554 (BCE:0.553 REG:0.0014 LB:0.0000) | VAL_AUC:0.7811 PRC:0.7670 F1:0.7087
Ep 17 [lr=2.00e-04] | L:0.551 (BCE:0.549 REG:0.0014 LB:0.0000) | VAL_AUC:0.7833 PRC:0.7683 F1:0.7092
Ep 18 [lr=2.00e-04] | L:0.547 (BCE:0.546 REG:0.0014 LB:0.0000) | VAL_AUC:0.7856 PRC:0.7713 F1:0.7049
Ep 19 [lr=2.00e-04] | L:0.544 (BCE:0.543 REG:0.0014 LB:0.0000) | VAL_AUC:0.7876 PRC:0.7725 F1:0.7198
Ep 20 [lr=2.00e-04] | L:0.542 (BCE:0.540 REG:0.0014 LB:0.0000) | VAL_AUC:0.7867 PRC:0.7701 F1:0.6982
Ep 21 [lr=2.00e-04] | L:0.539 (BCE:0.537 REG:0.0014 LB:0.0000) | VAL_AUC:0.7908 PRC:0.7771 F1:0.7031
Ep 22 [lr=2.00e-04] | L:0.535 (BCE:0.533 REG:0.0014 LB:0.0000) | VAL_AUC:0.7931 PRC:0.7789 F1:0.7148
