[TRAIN] ⚡ 复用 K-mer 缓存: kmer_cache_fold0_train.pt
[VAL] ⚡ 复用 K-mer 缓存: kmer_cache_fold0_val.pt

============================================================
🚀 深度学习基线（晚期融合）
   细胞系: HT29 | Fold: 0 | Device: cuda:0
   Train: 158,243  Val: 40,054
   消融对比: 无靶向池化 | 无正交剥离 | 无对比学习
============================================================

Ep 01 | Loss: 0.6321 | VAL_AUC: 0.7710 | PRC: 0.7501 | F1: 0.6677
Ep 02 | Loss: 0.5728 | VAL_AUC: 0.7870 | PRC: 0.7724 | F1: 0.7074
Ep 03 | Loss: 0.5519 | VAL_AUC: 0.8095 | PRC: 0.7962 | F1: 0.6946
Ep 04 | Loss: 0.5298 | VAL_AUC: 0.8316 | PRC: 0.8229 | F1: 0.7340
Ep 05 | Loss: 0.5121 | VAL_AUC: 0.8449 | PRC: 0.8348 | F1: 0.7545
Ep 06 | Loss: 0.4994 | VAL_AUC: 0.8513 | PRC: 0.8424 | F1: 0.7661
Ep 07 | Loss: 0.4863 | VAL_AUC: 0.8615 | PRC: 0.8512 | F1: 0.7742
Ep 08 | Loss: 0.4781 | VAL_AUC: 0.8649 | PRC: 0.8520 | F1: 0.7863
Ep 09 | Loss: 0.4705 | VAL_AUC: 0.8690 | PRC: 0.8562 | F1: 0.7864
Ep 10 | Loss: 0.4657 | VAL_AUC: 0.8722 | PRC: 0.8605 | F1: 0.7920
Ep 11 | Loss: 0.4604 | VAL_AUC: 0.8764 | PRC: 0.8653 | F1: 0.7901
Ep 12 | Loss: 0.4570 | VAL_AUC: 0.8776 | PRC: 0.8655 | F1: 0.8014
Ep 13 | Loss: 0.4523 | VAL_AUC: 0.8815 | PRC: 0.8702 | F1: 0.8003
Ep 14 | Loss: 0.4471 | VAL_AUC: 0.8821 | PRC: 0.8701 | F1: 0.8009
Ep 15 | Loss: 0.4438 | VAL_AUC: 0.8855 | PRC: 0.8737 | F1: 0.8029
Ep 16 | Loss: 0.4402 | VAL_AUC: 0.8874 | PRC: 0.8748 | F1: 0.8099
Ep 17 | Loss: 0.4371 | VAL_AUC: 0.8888 | PRC: 0.8771 | F1: 0.8088
Ep 18 | Loss: 0.4334 | VAL_AUC: 0.8905 | PRC: 0.8799 | F1: 0.8101
Ep 19 | Loss: 0.4311 | VAL_AUC: 0.8921 | PRC: 0.8806 | F1: 0.8102
Ep 20 | Loss: 0.4287 | VAL_AUC: 0.8922 | PRC: 0.8800 | F1: 0.8109
Ep 21 | Loss: 0.4265 | VAL_AUC: 0.8943 | PRC: 0.8826 | F1: 0.8167
Ep 22 | Loss: 0.4248 | VAL_AUC: 0.8936 | PRC: 0.8817 | F1: 0.8157
Ep 23 | Loss: 0.4219 | VAL_AUC: 0.8961 | PRC: 0.8853 | F1: 0.8195
Ep 24 | Loss: 0.4214 | VAL_AUC: 0.8977 | PRC: 0.8865 | F1: 0.8187
Ep 25 | Loss: 0.4193 | VAL_AUC: 0.8961 | PRC: 0.8857 | F1: 0.8200
Ep 26 | Loss: 0.4177 | VAL_AUC: 0.8981 | PRC: 0.8865 | F1: 0.8184
Ep 27 | Loss: 0.4165 | VAL_AUC: 0.8976 | PRC: 0.8854 | F1: 0.8144
Ep 28 | Loss: 0.4152 | VAL_AUC: 0.8982 | PRC: 0.8865 | F1: 0.8203
Ep 29 | Loss: 0.4146 | VAL_AUC: 0.8984 | PRC: 0.8878 | F1: 0.8187
Ep 30 | Loss: 0.4121 | VAL_AUC: 0.8970 | PRC: 0.8856 | F1: 0.8158
Ep 31 | Loss: 0.4118 | VAL_AUC: 0.8986 | PRC: 0.8865 | F1: 0.8189
Ep 32 | Loss: 0.4104 | VAL_AUC: 0.9007 | PRC: 0.8899 | F1: 0.8188
Ep 33 | Loss: 0.4098 | VAL_AUC: 0.9016 | PRC: 0.8908 | F1: 0.8239
Ep 34 | Loss: 0.4074 | VAL_AUC: 0.8988 | PRC: 0.8878 | F1: 0.8200
Ep 35 | Loss: 0.4066 | VAL_AUC: 0.9010 | PRC: 0.8902 | F1: 0.8218
Ep 36 | Loss: 0.4050 | VAL_AUC: 0.9015 | PRC: 0.8897 | F1: 0.8261
Ep 37 | Loss: 0.4053 | VAL_AUC: 0.9004 | PRC: 0.8901 | F1: 0.8211
Ep 38 | Loss: 0.3959 | VAL_AUC: 0.9037 | PRC: 0.8925 | F1: 0.8267
Ep 39 | Loss: 0.3941 | VAL_AUC: 0.9022 | PRC: 0.8910 | F1: 0.8234
Ep 40 | Loss: 0.3941 | VAL_AUC: 0.9029 | PRC: 0.8922 | F1: 0.8229
Ep 41 | Loss: 0.3921 | VAL_AUC: 0.9042 | PRC: 0.8933 | F1: 0.8243
Ep 42 | Loss: 0.3906 | VAL_AUC: 0.9036 | PRC: 0.8923 | F1: 0.8264
Ep 43 | Loss: 0.3906 | VAL_AUC: 0.9036 | PRC: 0.8923 | F1: 0.8248
Ep 44 | Loss: 0.3893 | VAL_AUC: 0.9045 | PRC: 0.8935 | F1: 0.8255
Ep 45 | Loss: 0.3914 | VAL_AUC: 0.9051 | PRC: 0.8942 | F1: 0.8246
Ep 46 | Loss: 0.3890 | VAL_AUC: 0.9040 | PRC: 0.8932 | F1: 0.8249
Ep 47 | Loss: 0.3893 | VAL_AUC: 0.9054 | PRC: 0.8942 | F1: 0.8232
Ep 48 | Loss: 0.3878 | VAL_AUC: 0.9054 | PRC: 0.8942 | F1: 0.8256
Ep 49 | Loss: 0.3869 | VAL_AUC: 0.9051 | PRC: 0.8943 | F1: 0.8253
Ep 50 | Loss: 0.3859 | VAL_AUC: 0.9046 | PRC: 0.8932 | F1: 0.8257

✅ Fold 0 完成 | Best VAL_AUC: 0.9054
