[TRAIN] ⚡ 复用 K-mer 缓存: kmer_cache_fold1_train.pt
[VAL] ⚡ 复用 K-mer 缓存: kmer_cache_fold1_val.pt

============================================================
🚀 深度学习基线（晚期融合）
   细胞系: MCF7 | Fold: 1 | Device: cuda:3
   Train: 164,966  Val: 41,719
   消融对比: 无靶向池化 | 无正交剥离 | 无对比学习
============================================================

Ep 01 | Loss: 0.6326 | VAL_AUC: 0.7684 | PRC: 0.7627 | F1: 0.6914
Ep 02 | Loss: 0.5683 | VAL_AUC: 0.8117 | PRC: 0.8015 | F1: 0.7239
Ep 03 | Loss: 0.5256 | VAL_AUC: 0.8359 | PRC: 0.8282 | F1: 0.7572
Ep 04 | Loss: 0.5038 | VAL_AUC: 0.8455 | PRC: 0.8395 | F1: 0.7653
Ep 05 | Loss: 0.4930 | VAL_AUC: 0.8519 | PRC: 0.8449 | F1: 0.7681
Ep 06 | Loss: 0.4870 | VAL_AUC: 0.8553 | PRC: 0.8499 | F1: 0.7805
Ep 07 | Loss: 0.4798 | VAL_AUC: 0.8541 | PRC: 0.8478 | F1: 0.7758
Ep 08 | Loss: 0.4756 | VAL_AUC: 0.8552 | PRC: 0.8496 | F1: 0.7689
Ep 09 | Loss: 0.4718 | VAL_AUC: 0.8595 | PRC: 0.8542 | F1: 0.7695
Ep 10 | Loss: 0.4683 | VAL_AUC: 0.8565 | PRC: 0.8489 | F1: 0.7819
Ep 11 | Loss: 0.4655 | VAL_AUC: 0.8622 | PRC: 0.8579 | F1: 0.7786
Ep 12 | Loss: 0.4633 | VAL_AUC: 0.8635 | PRC: 0.8590 | F1: 0.7824
Ep 13 | Loss: 0.4610 | VAL_AUC: 0.8650 | PRC: 0.8608 | F1: 0.7749
Ep 14 | Loss: 0.4589 | VAL_AUC: 0.8651 | PRC: 0.8605 | F1: 0.7826
Ep 15 | Loss: 0.4576 | VAL_AUC: 0.8645 | PRC: 0.8583 | F1: 0.7836
Ep 16 | Loss: 0.4552 | VAL_AUC: 0.8659 | PRC: 0.8597 | F1: 0.7833
Ep 17 | Loss: 0.4535 | VAL_AUC: 0.8657 | PRC: 0.8610 | F1: 0.7826
Ep 18 | Loss: 0.4517 | VAL_AUC: 0.8650 | PRC: 0.8597 | F1: 0.7829
Ep 19 | Loss: 0.4512 | VAL_AUC: 0.8674 | PRC: 0.8633 | F1: 0.7865
Ep 20 | Loss: 0.4492 | VAL_AUC: 0.8674 | PRC: 0.8631 | F1: 0.7902
Ep 21 | Loss: 0.4483 | VAL_AUC: 0.8671 | PRC: 0.8618 | F1: 0.7727
Ep 22 | Loss: 0.4463 | VAL_AUC: 0.8671 | PRC: 0.8631 | F1: 0.7878
Ep 23 | Loss: 0.4445 | VAL_AUC: 0.8683 | PRC: 0.8630 | F1: 0.7917
Ep 24 | Loss: 0.4427 | VAL_AUC: 0.8700 | PRC: 0.8655 | F1: 0.7892
Ep 25 | Loss: 0.4408 | VAL_AUC: 0.8682 | PRC: 0.8633 | F1: 0.7869
Ep 26 | Loss: 0.4389 | VAL_AUC: 0.8695 | PRC: 0.8652 | F1: 0.7944
Ep 27 | Loss: 0.4377 | VAL_AUC: 0.8703 | PRC: 0.8645 | F1: 0.7915
Ep 28 | Loss: 0.4355 | VAL_AUC: 0.8687 | PRC: 0.8627 | F1: 0.7860
Ep 29 | Loss: 0.4349 | VAL_AUC: 0.8701 | PRC: 0.8636 | F1: 0.7944
Ep 30 | Loss: 0.4326 | VAL_AUC: 0.8702 | PRC: 0.8661 | F1: 0.7900
Ep 31 | Loss: 0.4313 | VAL_AUC: 0.8703 | PRC: 0.8643 | F1: 0.7879
Ep 32 | Loss: 0.4233 | VAL_AUC: 0.8724 | PRC: 0.8670 | F1: 0.7930
Ep 33 | Loss: 0.4209 | VAL_AUC: 0.8730 | PRC: 0.8679 | F1: 0.7911
Ep 34 | Loss: 0.4205 | VAL_AUC: 0.8733 | PRC: 0.8685 | F1: 0.7988
Ep 35 | Loss: 0.4193 | VAL_AUC: 0.8730 | PRC: 0.8674 | F1: 0.7988
Ep 36 | Loss: 0.4185 | VAL_AUC: 0.8740 | PRC: 0.8693 | F1: 0.7976
Ep 37 | Loss: 0.4178 | VAL_AUC: 0.8735 | PRC: 0.8681 | F1: 0.7955
Ep 38 | Loss: 0.4160 | VAL_AUC: 0.8741 | PRC: 0.8688 | F1: 0.7946
Ep 39 | Loss: 0.4161 | VAL_AUC: 0.8736 | PRC: 0.8687 | F1: 0.7938
Ep 40 | Loss: 0.4148 | VAL_AUC: 0.8748 | PRC: 0.8705 | F1: 0.7962
Ep 41 | Loss: 0.4139 | VAL_AUC: 0.8746 | PRC: 0.8693 | F1: 0.7956
Ep 42 | Loss: 0.4131 | VAL_AUC: 0.8741 | PRC: 0.8682 | F1: 0.7950
Ep 43 | Loss: 0.4118 | VAL_AUC: 0.8748 | PRC: 0.8688 | F1: 0.7966
Ep 44 | Loss: 0.4118 | VAL_AUC: 0.8752 | PRC: 0.8706 | F1: 0.7974
Ep 45 | Loss: 0.4107 | VAL_AUC: 0.8747 | PRC: 0.8693 | F1: 0.7937
Ep 46 | Loss: 0.4103 | VAL_AUC: 0.8752 | PRC: 0.8700 | F1: 0.7987
Ep 47 | Loss: 0.4103 | VAL_AUC: 0.8755 | PRC: 0.8705 | F1: 0.7954
Ep 48 | Loss: 0.4085 | VAL_AUC: 0.8764 | PRC: 0.8723 | F1: 0.7982
Ep 49 | Loss: 0.4075 | VAL_AUC: 0.8756 | PRC: 0.8711 | F1: 0.7976
Ep 50 | Loss: 0.4078 | VAL_AUC: 0.8767 | PRC: 0.8720 | F1: 0.8016

✅ Fold 1 完成 | Best VAL_AUC: 0.8767
