[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold0_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold0_val.pt
  [CL] SpectrumDirectionCL 已启用，lam_cl=0.1

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
  params=918,218 | device=cuda:0 | fold=0
========================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_operator_moe.py:113: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  ).index_reduce_(0, batch_idx, scores, 'amax', include_self=True)
Ep 01 [lr=2.00e-05] | L:0.790 (BCE:0.689 REG:0.0881 LB:0.0000 CL:0.1300) | VAL_AUC:0.6712 PRC:0.6575 F1:0.5969
Ep 02 [lr=6.50e-05] | L:0.709 (BCE:0.640 REG:0.0561 LB:0.0000 CL:0.1236) | VAL_AUC:0.7491 PRC:0.7378 F1:0.6812
Ep 03 [lr=1.10e-04] | L:0.621 (BCE:0.603 REG:0.0067 LB:0.0000 CL:0.1140) | VAL_AUC:0.7619 PRC:0.7525 F1:0.6306
Ep 04 [lr=1.55e-04] | L:0.595 (BCE:0.580 REG:0.0030 LB:0.0000 CL:0.1118) | VAL_AUC:0.8033 PRC:0.7897 F1:0.7158
Ep 05 [lr=2.00e-04] | L:0.550 (BCE:0.537 REG:0.0027 LB:0.0000 CL:0.1048) | VAL_AUC:0.8304 PRC:0.8172 F1:0.7345
Ep 06 [lr=2.00e-04] | L:0.525 (BCE:0.512 REG:0.0026 LB:0.0000 CL:0.1023) | VAL_AUC:0.8444 PRC:0.8332 F1:0.7651
Ep 07 [lr=2.00e-04] | L:0.507 (BCE:0.495 REG:0.0025 LB:0.0000 CL:0.0998) | VAL_AUC:0.8495 PRC:0.8395 F1:0.7697
Ep 08 [lr=2.00e-04] | L:0.496 (BCE:0.484 REG:0.0024 LB:0.0000 CL:0.0963) | VAL_AUC:0.8580 PRC:0.8493 F1:0.7771
Ep 09 [lr=2.00e-04] | L:0.489 (BCE:0.478 REG:0.0022 LB:0.0000 CL:0.0932) | VAL_AUC:0.8549 PRC:0.8457 F1:0.7749
