[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold0_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold0_val.pt
  [CL] SpectrumDirectionCL 已启用，lam_cl=0.1

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
  params=918,218 | device=cuda:2 | fold=0
========================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_operator_moe.py:113: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  ).index_reduce_(0, batch_idx, scores, 'amax', include_self=True)
Ep 01 [lr=2.00e-05] | L:0.797 (BCE:0.696 REG:0.0880 LB:0.0000 CL:0.1296) | VAL_AUC:0.6660 PRC:0.6489 F1:0.5457
Ep 02 [lr=6.50e-05] | L:0.732 (BCE:0.674 REG:0.0458 LB:0.0000 CL:0.1242) | VAL_AUC:0.7415 PRC:0.7244 F1:0.6463
Ep 03 [lr=1.10e-04] | L:0.673 (BCE:0.660 REG:0.0021 LB:0.0000 CL:0.1137) | VAL_AUC:0.7518 PRC:0.7365 F1:0.6320
Ep 04 [lr=1.55e-04] | L:0.666 (BCE:0.655 REG:0.0007 LB:0.0000 CL:0.1103) | VAL_AUC:0.7582 PRC:0.7420 F1:0.6416
Ep 05 [lr=2.00e-04] | L:0.662 (BCE:0.650 REG:0.0008 LB:0.0000 CL:0.1093) | VAL_AUC:0.7834 PRC:0.7640 F1:0.7245
Ep 06 [lr=2.00e-04] | L:0.651 (BCE:0.640 REG:0.0011 LB:0.0000 CL:0.1053) | VAL_AUC:0.8176 PRC:0.7946 F1:0.7450
Ep 07 [lr=2.00e-04] | L:0.643 (BCE:0.632 REG:0.0011 LB:0.0000 CL:0.0988) | VAL_AUC:0.8276 PRC:0.8066 F1:0.7491
Ep 08 [lr=2.00e-04] | L:0.639 (BCE:0.628 REG:0.0011 LB:0.0000 CL:0.0968) | VAL_AUC:0.8389 PRC:0.8233 F1:0.7523
Ep 09 [lr=2.00e-04] | L:0.635 (BCE:0.625 REG:0.0011 LB:0.0000 CL:0.0945) | VAL_AUC:0.8416 PRC:0.8259 F1:0.7659
Ep 10 [lr=2.00e-04] | L:0.633 (BCE:0.623 REG:0.0011 LB:0.0000 CL:0.0925) | VAL_AUC:0.8391 PRC:0.8179 F1:0.7691
Ep 11 [lr=2.00e-04] | L:0.631 (BCE:0.621 REG:0.0010 LB:0.0000 CL:0.0910) | VAL_AUC:0.8479 PRC:0.8340 F1:0.7648
Ep 12 [lr=2.00e-04] | L:0.630 (BCE:0.620 REG:0.0009 LB:0.0000 CL:0.0901) | VAL_AUC:0.8472 PRC:0.8325 F1:0.7706
Ep 13 [lr=2.00e-04] | L:0.629 (BCE:0.619 REG:0.0009 LB:0.0000 CL:0.0894) | VAL_AUC:0.8534 PRC:0.8390 F1:0.7787
Ep 14 [lr=2.00e-04] | L:0.628 (BCE:0.618 REG:0.0009 LB:0.0000 CL:0.0887) | VAL_AUC:0.8537 PRC:0.8394 F1:0.7827
Ep 15 [lr=2.00e-04] | L:0.627 (BCE:0.617 REG:0.0009 LB:0.0000 CL:0.0880) | VAL_AUC:0.8560 PRC:0.8406 F1:0.7808
Ep 16 [lr=2.00e-04] | L:0.626 (BCE:0.616 REG:0.0009 LB:0.0000 CL:0.0871) | VAL_AUC:0.8563 PRC:0.8410 F1:0.7869
Ep 17 [lr=2.00e-04] | L:0.625 (BCE:0.615 REG:0.0009 LB:0.0000 CL:0.0866) | VAL_AUC:0.8584 PRC:0.8425 F1:0.7885
Ep 18 [lr=2.00e-04] | L:0.623 (BCE:0.614 REG:0.0009 LB:0.0000 CL:0.0855) | VAL_AUC:0.8611 PRC:0.8472 F1:0.7839
Ep 19 [lr=2.00e-04] | L:0.622 (BCE:0.613 REG:0.0009 LB:0.0000 CL:0.0847) | VAL_AUC:0.8618 PRC:0.8470 F1:0.7843
Ep 20 [lr=2.00e-04] | L:0.621 (BCE:0.612 REG:0.0009 LB:0.0000 CL:0.0842) | VAL_AUC:0.8617 PRC:0.8484 F1:0.7795
Ep 21 [lr=2.00e-04] | L:0.620 (BCE:0.611 REG:0.0009 LB:0.0000 CL:0.0838) | VAL_AUC:0.8645 PRC:0.8506 F1:0.7869
Ep 22 [lr=2.00e-04] | L:0.620 (BCE:0.610 REG:0.0009 LB:0.0000 CL:0.0831) | VAL_AUC:0.8641 PRC:0.8505 F1:0.7880
Ep 23 [lr=2.00e-04] | L:0.618 (BCE:0.609 REG:0.0009 LB:0.0000 CL:0.0824) | VAL_AUC:0.8640 PRC:0.8485 F1:0.7930
Ep 24 [lr=2.00e-04] | L:0.618 (BCE:0.609 REG:0.0009 LB:0.0000 CL:0.0819) | VAL_AUC:0.8643 PRC:0.8512 F1:0.7874
Ep 25 [lr=2.00e-04] | L:0.616 (BCE:0.607 REG:0.0009 LB:0.0000 CL:0.0811) | VAL_AUC:0.8680 PRC:0.8546 F1:0.7868
Ep 26 [lr=2.00e-04] | L:0.615 (BCE:0.606 REG:0.0009 LB:0.0000 CL:0.0804) | VAL_AUC:0.8683 PRC:0.8538 F1:0.7934
Ep 27 [lr=2.00e-04] | L:0.615 (BCE:0.606 REG:0.0009 LB:0.0000 CL:0.0800) | VAL_AUC:0.8694 PRC:0.8560 F1:0.7969
