[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold0_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold0_val.pt

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
  params=918,210 | device=cuda:1 | fold=0
========================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_operator_moe.py:113: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  ).index_reduce_(0, batch_idx, scores, 'amax', include_self=True)
Ep 01 [lr=2.00e-05] | L:0.784 (BCE:0.696 REG:0.0882 LB:0.0000) | VAL_AUC:0.6635 PRC:0.6466 F1:0.5936
Ep 02 [lr=6.50e-05] | L:0.717 (BCE:0.674 REG:0.0429 LB:0.0000) | VAL_AUC:0.7430 PRC:0.7246 F1:0.6869
Ep 03 [lr=1.10e-04] | L:0.662 (BCE:0.659 REG:0.0033 LB:0.0000) | VAL_AUC:0.7606 PRC:0.7453 F1:0.6792
Ep 04 [lr=1.55e-04] | L:0.652 (BCE:0.650 REG:0.0013 LB:0.0000) | VAL_AUC:0.7945 PRC:0.7745 F1:0.7128
Ep 05 [lr=2.00e-04] | L:0.641 (BCE:0.640 REG:0.0015 LB:0.0000) | VAL_AUC:0.8212 PRC:0.8009 F1:0.7361
Ep 06 [lr=2.00e-04] | L:0.634 (BCE:0.633 REG:0.0012 LB:0.0000) | VAL_AUC:0.8267 PRC:0.8050 F1:0.7489
Ep 07 [lr=2.00e-04] | L:0.631 (BCE:0.630 REG:0.0010 LB:0.0000) | VAL_AUC:0.8356 PRC:0.8150 F1:0.7664
Ep 08 [lr=2.00e-04] | L:0.628 (BCE:0.627 REG:0.0009 LB:0.0000) | VAL_AUC:0.8383 PRC:0.8204 F1:0.7608
Ep 09 [lr=2.00e-04] | L:0.625 (BCE:0.625 REG:0.0008 LB:0.0000) | VAL_AUC:0.8336 PRC:0.8162 F1:0.7530
Ep 10 [lr=2.00e-04] | L:0.623 (BCE:0.622 REG:0.0008 LB:0.0000) | VAL_AUC:0.8388 PRC:0.8215 F1:0.7698
Ep 11 [lr=2.00e-04] | L:0.622 (BCE:0.621 REG:0.0007 LB:0.0000) | VAL_AUC:0.8491 PRC:0.8334 F1:0.7741
Ep 12 [lr=2.00e-04] | L:0.621 (BCE:0.620 REG:0.0007 LB:0.0000) | VAL_AUC:0.8502 PRC:0.8360 F1:0.7805
Ep 13 [lr=2.00e-04] | L:0.620 (BCE:0.619 REG:0.0007 LB:0.0000) | VAL_AUC:0.8516 PRC:0.8362 F1:0.7801
Ep 14 [lr=2.00e-04] | L:0.619 (BCE:0.618 REG:0.0007 LB:0.0000) | VAL_AUC:0.8530 PRC:0.8403 F1:0.7713
Ep 15 [lr=2.00e-04] | L:0.618 (BCE:0.618 REG:0.0006 LB:0.0000) | VAL_AUC:0.8547 PRC:0.8412 F1:0.7806
Ep 16 [lr=2.00e-04] | L:0.617 (BCE:0.616 REG:0.0006 LB:0.0000) | VAL_AUC:0.8563 PRC:0.8414 F1:0.7836
Ep 17 [lr=2.00e-04] | L:0.616 (BCE:0.615 REG:0.0007 LB:0.0000) | VAL_AUC:0.8562 PRC:0.8417 F1:0.7660
Ep 18 [lr=2.00e-04] | L:0.615 (BCE:0.614 REG:0.0006 LB:0.0000) | VAL_AUC:0.8574 PRC:0.8428 F1:0.7846
Ep 19 [lr=2.00e-04] | L:0.614 (BCE:0.614 REG:0.0006 LB:0.0000) | VAL_AUC:0.8566 PRC:0.8412 F1:0.7859
Ep 20 [lr=2.00e-04] | L:0.613 (BCE:0.612 REG:0.0006 LB:0.0000) | VAL_AUC:0.8608 PRC:0.8471 F1:0.7867
Ep 21 [lr=2.00e-04] | L:0.612 (BCE:0.612 REG:0.0006 LB:0.0000) | VAL_AUC:0.8635 PRC:0.8495 F1:0.7854
Ep 22 [lr=2.00e-04] | L:0.611 (BCE:0.610 REG:0.0006 LB:0.0000) | VAL_AUC:0.8650 PRC:0.8507 F1:0.7971
Ep 23 [lr=2.00e-04] | L:0.610 (BCE:0.609 REG:0.0006 LB:0.0000) | VAL_AUC:0.8641 PRC:0.8505 F1:0.7840
Ep 24 [lr=2.00e-04] | L:0.609 (BCE:0.609 REG:0.0006 LB:0.0000) | VAL_AUC:0.8652 PRC:0.8507 F1:0.7923
Ep 25 [lr=2.00e-04] | L:0.609 (BCE:0.608 REG:0.0006 LB:0.0000) | VAL_AUC:0.8667 PRC:0.8532 F1:0.7962
Ep 26 [lr=2.00e-04] | L:0.608 (BCE:0.607 REG:0.0007 LB:0.0000) | VAL_AUC:0.8638 PRC:0.8506 F1:0.7814
Ep 27 [lr=2.00e-04] | L:0.607 (BCE:0.606 REG:0.0007 LB:0.0000) | VAL_AUC:0.8672 PRC:0.8539 F1:0.7955
