[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold0_train_len3000.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold0_val_len3000.pt
参数量: 918,210

======================================================================
DrugOperatorNet V2  (GeneMultiHeadReader + 模式对齐耦合)
  交互类型: operator | rank=8 | gene_len=3000
  Device: cuda:0 | Fold: 0 | warmup=5ep
======================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_drug_operator_v2.py:58: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  device=scores.device).index_reduce_(
Ep 01 [lr=3.00e-05] | L:0.701 (BCE:0.692 REG:0.0093) | VAL_AUC: 0.6114 | PRC: 0.6010 | F1: 0.3699
Ep 02 [lr=9.75e-05] | L:0.679 (BCE:0.670 REG:0.0091) | VAL_AUC: 0.6399 | PRC: 0.6313 | F1: 0.5238
Ep 03 [lr=1.65e-04] | L:0.664 (BCE:0.659 REG:0.0050) | VAL_AUC: 0.6592 | PRC: 0.6456 | F1: 0.4875
Ep 04 [lr=2.32e-04] | L:0.653 (BCE:0.652 REG:0.0010) | VAL_AUC: 0.6738 | PRC: 0.6707 | F1: 0.6632
Ep 05 [lr=3.00e-04] | L:0.644 (BCE:0.644 REG:0.0008) | VAL_AUC: 0.6934 | PRC: 0.6807 | F1: 0.5746
Ep 06 [lr=3.00e-04] | L:0.637 (BCE:0.636 REG:0.0005) | VAL_AUC: 0.7031 | PRC: 0.6924 | F1: 0.6884
Ep 07 [lr=3.00e-04] | L:0.632 (BCE:0.631 REG:0.0007) | VAL_AUC: 0.7106 | PRC: 0.6983 | F1: 0.6394
Ep 08 [lr=3.00e-04] | L:0.627 (BCE:0.626 REG:0.0011) | VAL_AUC: 0.7194 | PRC: 0.7047 | F1: 0.6023
Ep 09 [lr=3.00e-04] | L:0.616 (BCE:0.614 REG:0.0015) | VAL_AUC: 0.7488 | PRC: 0.7294 | F1: 0.6778
Ep 10 [lr=3.00e-04] | L:0.597 (BCE:0.595 REG:0.0020) | VAL_AUC: 0.7728 | PRC: 0.7517 | F1: 0.7095
Ep 11 [lr=3.00e-04] | L:0.581 (BCE:0.579 REG:0.0021) | VAL_AUC: 0.7805 | PRC: 0.7595 | F1: 0.6997
Ep 12 [lr=3.00e-04] | L:0.571 (BCE:0.569 REG:0.0019) | VAL_AUC: 0.7885 | PRC: 0.7718 | F1: 0.7248
Ep 13 [lr=3.00e-04] | L:0.564 (BCE:0.562 REG:0.0018) | VAL_AUC: 0.7943 | PRC: 0.7797 | F1: 0.7184
Ep 14 [lr=3.00e-04] | L:0.556 (BCE:0.554 REG:0.0019) | VAL_AUC: 0.8009 | PRC: 0.7843 | F1: 0.7345
Ep 15 [lr=3.00e-04] | L:0.545 (BCE:0.543 REG:0.0020) | VAL_AUC: 0.8134 | PRC: 0.7981 | F1: 0.7295
Ep 16 [lr=3.00e-04] | L:0.533 (BCE:0.531 REG:0.0019) | VAL_AUC: 0.8196 | PRC: 0.8064 | F1: 0.7512
Ep 17 [lr=3.00e-04] | L:0.523 (BCE:0.521 REG:0.0020) | VAL_AUC: 0.8279 | PRC: 0.8144 | F1: 0.7519
Ep 18 [lr=3.00e-04] | L:0.514 (BCE:0.512 REG:0.0019) | VAL_AUC: 0.8307 | PRC: 0.8155 | F1: 0.7576
Ep 19 [lr=3.00e-04] | L:0.506 (BCE:0.504 REG:0.0019) | VAL_AUC: 0.8357 | PRC: 0.8222 | F1: 0.7563
Ep 20 [lr=3.00e-04] | L:0.499 (BCE:0.498 REG:0.0019) | VAL_AUC: 0.8384 | PRC: 0.8246 | F1: 0.7488
Ep 21 [lr=3.00e-04] | L:0.494 (BCE:0.492 REG:0.0019) | VAL_AUC: 0.8389 | PRC: 0.8262 | F1: 0.7561
Ep 22 [lr=3.00e-04] | L:0.490 (BCE:0.488 REG:0.0019) | VAL_AUC: 0.8411 | PRC: 0.8305 | F1: 0.7641
Ep 23 [lr=3.00e-04] | L:0.484 (BCE:0.483 REG:0.0018) | VAL_AUC: 0.8485 | PRC: 0.8362 | F1: 0.7615
