[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold0_train_len3000.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold0_val_len3000.pt
参数量: 918,210

======================================================================
DrugOperatorNet V2  (GeneMultiHeadReader + 模式对齐耦合)
  交互类型: operator | rank=8 | gene_len=3000
  Device: cuda:1 | Fold: 0 | warmup=5ep
======================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_drug_operator_v2.py:58: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  device=scores.device).index_reduce_(
Ep 01 [lr=3.00e-05] | L:0.702 (BCE:0.693 REG:0.0093) | VAL_AUC: 0.6021 | PRC: 0.6070 | F1: 0.3435
Ep 02 [lr=9.75e-05] | L:0.682 (BCE:0.673 REG:0.0090) | VAL_AUC: 0.6284 | PRC: 0.6323 | F1: 0.4076
Ep 03 [lr=1.65e-04] | L:0.667 (BCE:0.663 REG:0.0040) | VAL_AUC: 0.6436 | PRC: 0.6499 | F1: 0.4988
Ep 04 [lr=2.32e-04] | L:0.656 (BCE:0.655 REG:0.0010) | VAL_AUC: 0.6693 | PRC: 0.6715 | F1: 0.6203
Ep 05 [lr=3.00e-04] | L:0.647 (BCE:0.646 REG:0.0006) | VAL_AUC: 0.6836 | PRC: 0.6873 | F1: 0.6184
Ep 06 [lr=3.00e-04] | L:0.639 (BCE:0.639 REG:0.0003) | VAL_AUC: 0.6841 | PRC: 0.6905 | F1: 0.6274
Ep 07 [lr=3.00e-04] | L:0.634 (BCE:0.634 REG:0.0002) | VAL_AUC: 0.6886 | PRC: 0.6897 | F1: 0.6323
Ep 08 [lr=3.00e-04] | L:0.629 (BCE:0.629 REG:0.0002) | VAL_AUC: 0.6939 | PRC: 0.6943 | F1: 0.5850
Ep 09 [lr=3.00e-04] | L:0.628 (BCE:0.627 REG:0.0002) | VAL_AUC: 0.6943 | PRC: 0.6973 | F1: 0.6016
Ep 10 [lr=3.00e-04] | L:0.625 (BCE:0.624 REG:0.0002) | VAL_AUC: 0.6972 | PRC: 0.7014 | F1: 0.6307
Ep 11 [lr=3.00e-04] | L:0.624 (BCE:0.623 REG:0.0005) | VAL_AUC: 0.6969 | PRC: 0.7003 | F1: 0.5976
Ep 12 [lr=3.00e-04] | L:0.623 (BCE:0.623 REG:0.0001) | VAL_AUC: 0.6971 | PRC: 0.7019 | F1: 0.5584
Ep 13 [lr=3.00e-04] | L:0.622 (BCE:0.622 REG:0.0001) | VAL_AUC: 0.6972 | PRC: 0.7017 | F1: 0.5576
Ep 14 [lr=1.50e-04] | L:0.621 (BCE:0.621 REG:0.0002) | VAL_AUC: 0.6953 | PRC: 0.7009 | F1: 0.6445
Ep 15 [lr=1.50e-04] | L:0.617 (BCE:0.617 REG:0.0005) | VAL_AUC: 0.7031 | PRC: 0.7056 | F1: 0.6061
Ep 16 [lr=1.50e-04] | L:0.614 (BCE:0.614 REG:0.0006) | VAL_AUC: 0.7131 | PRC: 0.7124 | F1: 0.6606
Ep 17 [lr=1.50e-04] | L:0.610 (BCE:0.609 REG:0.0009) | VAL_AUC: 0.7203 | PRC: 0.7183 | F1: 0.6579
Ep 18 [lr=1.50e-04] | L:0.604 (BCE:0.603 REG:0.0014) | VAL_AUC: 0.7367 | PRC: 0.7327 | F1: 0.6756
Ep 19 [lr=1.50e-04] | L:0.595 (BCE:0.594 REG:0.0018) | VAL_AUC: 0.7390 | PRC: 0.7369 | F1: 0.6426
Ep 20 [lr=1.50e-04] | L:0.590 (BCE:0.588 REG:0.0018) | VAL_AUC: 0.7520 | PRC: 0.7473 | F1: 0.6753
Ep 21 [lr=1.50e-04] | L:0.585 (BCE:0.583 REG:0.0017) | VAL_AUC: 0.7559 | PRC: 0.7511 | F1: 0.6766
Ep 22 [lr=1.50e-04] | L:0.580 (BCE:0.579 REG:0.0018) | VAL_AUC: 0.7597 | PRC: 0.7555 | F1: 0.6839
Ep 23 [lr=1.50e-04] | L:0.577 (BCE:0.575 REG:0.0019) | VAL_AUC: 0.7607 | PRC: 0.7559 | F1: 0.6804
Ep 24 [lr=1.50e-04] | L:0.574 (BCE:0.572 REG:0.0019) | VAL_AUC: 0.7665 | PRC: 0.7611 | F1: 0.6804
Ep 25 [lr=1.50e-04] | L:0.570 (BCE:0.568 REG:0.0019) | VAL_AUC: 0.7692 | PRC: 0.7626 | F1: 0.6895
Ep 26 [lr=1.50e-04] | L:0.567 (BCE:0.566 REG:0.0019) | VAL_AUC: 0.7706 | PRC: 0.7636 | F1: 0.6909
Ep 27 [lr=1.50e-04] | L:0.565 (BCE:0.563 REG:0.0019) | VAL_AUC: 0.7705 | PRC: 0.7633 | F1: 0.7058
Ep 28 [lr=1.50e-04] | L:0.562 (BCE:0.560 REG:0.0019) | VAL_AUC: 0.7738 | PRC: 0.7679 | F1: 0.7049
Ep 29 [lr=1.50e-04] | L:0.559 (BCE:0.558 REG:0.0019) | VAL_AUC: 0.7737 | PRC: 0.7660 | F1: 0.6889
Ep 30 [lr=1.50e-04] | L:0.556 (BCE:0.554 REG:0.0019) | VAL_AUC: 0.7748 | PRC: 0.7691 | F1: 0.7073
Ep 31 [lr=1.50e-04] | L:0.554 (BCE:0.552 REG:0.0019) | VAL_AUC: 0.7712 | PRC: 0.7663 | F1: 0.7057
Ep 32 [lr=1.50e-04] | L:0.552 (BCE:0.550 REG:0.0019) | VAL_AUC: 0.7799 | PRC: 0.7727 | F1: 0.7127
Ep 33 [lr=1.50e-04] | L:0.549 (BCE:0.547 REG:0.0019) | VAL_AUC: 0.7807 | PRC: 0.7721 | F1: 0.7117
Ep 34 [lr=1.50e-04] | L:0.547 (BCE:0.546 REG:0.0019) | VAL_AUC: 0.7814 | PRC: 0.7752 | F1: 0.7008
Ep 35 [lr=1.50e-04] | L:0.545 (BCE:0.544 REG:0.0019) | VAL_AUC: 0.7824 | PRC: 0.7753 | F1: 0.7113
Ep 36 [lr=1.50e-04] | L:0.543 (BCE:0.542 REG:0.0019) | VAL_AUC: 0.7823 | PRC: 0.7751 | F1: 0.7190
Ep 37 [lr=1.50e-04] | L:0.541 (BCE:0.539 REG:0.0019) | VAL_AUC: 0.7849 | PRC: 0.7764 | F1: 0.7097
Ep 38 [lr=1.50e-04] | L:0.539 (BCE:0.537 REG:0.0019) | VAL_AUC: 0.7851 | PRC: 0.7771 | F1: 0.7097
Ep 39 [lr=1.50e-04] | L:0.538 (BCE:0.536 REG:0.0019) | VAL_AUC: 0.7852 | PRC: 0.7776 | F1: 0.7170
Ep 40 [lr=1.50e-04] | L:0.535 (BCE:0.534 REG:0.0019) | VAL_AUC: 0.7867 | PRC: 0.7791 | F1: 0.7141
Ep 41 [lr=1.50e-04] | L:0.534 (BCE:0.532 REG:0.0019) | VAL_AUC: 0.7872 | PRC: 0.7799 | F1: 0.7121
Ep 42 [lr=1.50e-04] | L:0.532 (BCE:0.530 REG:0.0019) | VAL_AUC: 0.7879 | PRC: 0.7795 | F1: 0.7240
Ep 43 [lr=1.50e-04] | L:0.530 (BCE:0.529 REG:0.0019) | VAL_AUC: 0.7871 | PRC: 0.7784 | F1: 0.7169
Ep 44 [lr=1.50e-04] | L:0.528 (BCE:0.527 REG:0.0019) | VAL_AUC: 0.7875 | PRC: 0.7797 | F1: 0.7157
Ep 45 [lr=1.50e-04] | L:0.526 (BCE:0.524 REG:0.0019) | VAL_AUC: 0.7888 | PRC: 0.7808 | F1: 0.7118
Ep 46 [lr=1.50e-04] | L:0.525 (BCE:0.523 REG:0.0019) | VAL_AUC: 0.7913 | PRC: 0.7824 | F1: 0.7123
Ep 47 [lr=1.50e-04] | L:0.524 (BCE:0.522 REG:0.0019) | VAL_AUC: 0.7905 | PRC: 0.7821 | F1: 0.7221
Ep 48 [lr=1.50e-04] | L:0.520 (BCE:0.519 REG:0.0019) | VAL_AUC: 0.7897 | PRC: 0.7818 | F1: 0.7174
Ep 49 [lr=1.50e-04] | L:0.520 (BCE:0.518 REG:0.0019) | VAL_AUC: 0.7909 | PRC: 0.7812 | F1: 0.7240
Ep 50 [lr=7.50e-05] | L:0.518 (BCE:0.516 REG:0.0019) | VAL_AUC: 0.7910 | PRC: 0.7813 | F1: 0.7151
Ep 51 [lr=7.50e-05] | L:0.512 (BCE:0.510 REG:0.0019) | VAL_AUC: 0.7924 | PRC: 0.7837 | F1: 0.7254
Ep 52 [lr=7.50e-05] | L:0.510 (BCE:0.508 REG:0.0019) | VAL_AUC: 0.7938 | PRC: 0.7846 | F1: 0.7151
Ep 53 [lr=7.50e-05] | L:0.508 (BCE:0.506 REG:0.0019) | VAL_AUC: 0.7933 | PRC: 0.7838 | F1: 0.7224
Ep 54 [lr=7.50e-05] | L:0.507 (BCE:0.505 REG:0.0019) | VAL_AUC: 0.7941 | PRC: 0.7852 | F1: 0.7230
Ep 55 [lr=7.50e-05] | L:0.506 (BCE:0.504 REG:0.0019) | VAL_AUC: 0.7926 | PRC: 0.7831 | F1: 0.7180
Ep 56 [lr=7.50e-05] | L:0.506 (BCE:0.504 REG:0.0019) | VAL_AUC: 0.7940 | PRC: 0.7841 | F1: 0.7184
Ep 57 [lr=7.50e-05] | L:0.504 (BCE:0.502 REG:0.0019) | VAL_AUC: 0.7943 | PRC: 0.7844 | F1: 0.7280
Ep 58 [lr=7.50e-05] | L:0.503 (BCE:0.501 REG:0.0019) | VAL_AUC: 0.7937 | PRC: 0.7838 | F1: 0.7194
Ep 59 [lr=7.50e-05] | L:0.502 (BCE:0.500 REG:0.0019) | VAL_AUC: 0.7948 | PRC: 0.7856 | F1: 0.7238
Ep 60 [lr=7.50e-05] | L:0.500 (BCE:0.498 REG:0.0019) | VAL_AUC: 0.7932 | PRC: 0.7819 | F1: 0.7217
Ep 61 [lr=7.50e-05] | L:0.500 (BCE:0.498 REG:0.0019) | VAL_AUC: 0.7956 | PRC: 0.7862 | F1: 0.7197
Ep 62 [lr=7.50e-05] | L:0.499 (BCE:0.497 REG:0.0019) | VAL_AUC: 0.7954 | PRC: 0.7853 | F1: 0.7241
Ep 63 [lr=7.50e-05] | L:0.498 (BCE:0.496 REG:0.0019) | VAL_AUC: 0.7947 | PRC: 0.7854 | F1: 0.7200
Ep 64 [lr=7.50e-05] | L:0.496 (BCE:0.495 REG:0.0019) | VAL_AUC: 0.7947 | PRC: 0.7853 | F1: 0.7165
Ep 65 [lr=3.75e-05] | L:0.495 (BCE:0.493 REG:0.0019) | VAL_AUC: 0.7953 | PRC: 0.7855 | F1: 0.7255
Ep 66 [lr=3.75e-05] | L:0.492 (BCE:0.490 REG:0.0019) | VAL_AUC: 0.7969 | PRC: 0.7865 | F1: 0.7210
Ep 67 [lr=3.75e-05] | L:0.493 (BCE:0.491 REG:0.0019) | VAL_AUC: 0.7960 | PRC: 0.7862 | F1: 0.7246
Ep 68 [lr=3.75e-05] | L:0.490 (BCE:0.488 REG:0.0019) | VAL_AUC: 0.7965 | PRC: 0.7868 | F1: 0.7221
Ep 69 [lr=3.75e-05] | L:0.490 (BCE:0.488 REG:0.0019) | VAL_AUC: 0.7968 | PRC: 0.7858 | F1: 0.7231
Ep 70 [lr=3.75e-05] | L:0.489 (BCE:0.487 REG:0.0019) | VAL_AUC: 0.7976 | PRC: 0.7869 | F1: 0.7238
Ep 71 [lr=3.75e-05] | L:0.488 (BCE:0.486 REG:0.0019) | VAL_AUC: 0.7972 | PRC: 0.7869 | F1: 0.7266
Ep 72 [lr=3.75e-05] | L:0.487 (BCE:0.485 REG:0.0019) | VAL_AUC: 0.7961 | PRC: 0.7853 | F1: 0.7251
Ep 73 [lr=3.75e-05] | L:0.487 (BCE:0.485 REG:0.0019) | VAL_AUC: 0.7967 | PRC: 0.7855 | F1: 0.7248
Ep 74 [lr=1.87e-05] | L:0.486 (BCE:0.484 REG:0.0019) | VAL_AUC: 0.7969 | PRC: 0.7867 | F1: 0.7260
Ep 75 [lr=1.87e-05] | L:0.486 (BCE:0.484 REG:0.0019) | VAL_AUC: 0.7974 | PRC: 0.7866 | F1: 0.7249
Ep 76 [lr=1.87e-05] | L:0.483 (BCE:0.481 REG:0.0019) | VAL_AUC: 0.7971 | PRC: 0.7865 | F1: 0.7235
Ep 77 [lr=1.87e-05] | L:0.484 (BCE:0.482 REG:0.0019) | VAL_AUC: 0.7973 | PRC: 0.7867 | F1: 0.7227
Ep 78 [lr=9.37e-06] | L:0.484 (BCE:0.482 REG:0.0019) | VAL_AUC: 0.7970 | PRC: 0.7864 | F1: 0.7262
Ep 79 [lr=9.37e-06] | L:0.482 (BCE:0.480 REG:0.0019) | VAL_AUC: 0.7967 | PRC: 0.7859 | F1: 0.7250
Ep 80 [lr=9.37e-06] | L:0.482 (BCE:0.480 REG:0.0019) | VAL_AUC: 0.7976 | PRC: 0.7869 | F1: 0.7243
Early stop at epoch 80

最优 AUC: 0.7976  模型: results_operator_v2/VCAP/operator_r8_Fold0_v1.pt
